위치,시설,규모,최대 수용인원,이동약자 접근성
"신주소: 서울특별시 광진구 아차산로36길 39, 지하주차장 1층 (자양동, 자양7차우성아파트)
구주소: 서울특별시 광진구 자양동 783-1 자양7차우성아파트","자양우성7차아파트 지하주차장 1~2층
(공공시설)",7744㎡,9370명,정보 없음
"신주소: 서울특별시 광진구 아차산로44길 26, 서울자양초등학교 (자양동)
구주소: 서울특별시 광진구 자양동 222-6 서울자양초등학교","자양초등학교 강당 지하 1층
(공공시설)",331㎡,401명,정보 없음
"신주소: 서울특별시 광진구 아차산로70길 62 (광장동, 광장현대3단지아파트)
구주소: 서울특별시 광진구 광장동 484번지","광장현대3단지아파트 지하주차장 1층
(공공시설)",3142㎡,3802명,정보 없음
"신주소: 서울특별시 광진구 아차산로76길 31 (광장동, 광나루현대아파트)
구주소: 서울특별시 광진구 광장동 567번지","광나루현대아파트 지하주차장 1~2층
(공공시설)",8765㎡,10606명,정보 없음
"신주소: 서울특별시 광진구 아차산로78길 110 (광장동, 리버힐오피스텔)
구주소: 서울특별시 광진구 광장동 127번지","리버힐 오피스텔 지하 1~2층
(공공시설)",5035㎡,6092명,정보 없음
"신주소: 서울특별시 광진구 아차산로78길 44 (광장동)
구주소: 서울특별시 광진구 광장동 114번지","크레스코 오피스텔 지하주차장 3층~6층
(공공시설)",7258㎡,8782명,정보 없음
"신주소: 서울특별시 광진구 영화사로9길 24 (중곡동, 현대하이츠빌라)
구주소: 서울특별시 광진구 중곡동 106번지 45호","현대하이츠빌라 지하주차장 1층
(공공시설)",661㎡,800명,정보 없음
"신주소: 서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)
구주소: 서울특별시 광진구 중곡동 30번지 1호","국립정신건강센터 주차장 지하1~2층
(공공시설)",7855㎡,9505명,정보 없음
"신주소: 서울특별시 광진구 용마산로 174 (중곡동, 에스케이아파트)
구주소: 서울특별시 광진구 중곡동 292번지","에스케이아파트 지하주차장 1층
(공공시설)",7263㎡,8788명,정보 없음
"신주소: 서울특별시 광진구 용마산로 74 (중곡동, 대순종단천안방면중앙연락소)
구주소: 서울특별시 광진구 중곡동 58번지 15호","대순진리회 지하1층
(공공시설)",377㎡,456명,정보 없음
"신주소: 서울특별시 광진구 용마산로22길 26 (중곡동, 대원학원)
구주소: 서울특별시 광진구 중곡동 176번지 124호","대원외고 지하주차장
(공공시설)",426㎡,515명,정보 없음
"신주소: 서울특별시 광진구 자양로 167 (구의동, 광진경찰서)
구주소: 서울특별시 광진구 구의동 254번지 32호","광진경찰서 주차장 지하 1층~3층
(공공시설)",1571㎡,1901명,정보 없음
