가게명,데이트,혼밥,가족식사,노포,주점,양식,일식,중식,분식,주차,아동편의시설,신식,규모,예약여부,웨이팅,매운정도,가성비,한식,거리
줄리아,0.504729179,0,0,0.059917852,0.225881117,0.474360976,0,0.522055297,0,0,0,0.089876778,0,0.355485874,0.142108928,0.07271466,0.132778351,0
진작,0,0.307262798,0,0,0.026493546,0.556376938,0.486991298,0,0.064426789,0,0,0.035138758,0.17569379,0.416948594,0.333358494,0.085286864,0.062294173,0.066671699
청담동 순도리(을지로 3가점),0,0,0,0,0,0,0,0,0.686870462,0,0,0,0,0,0.088850502,0.568290651,0,0.44425251
청와옥 을지로3가직영점,0,0.520050809,0,0.071367987,0.269046372,0,0.197819108,0,0.327132385,0,0,0.107051981,0.285471949,0.211709119,0.3385311,0.129915344,0.31630385,0.3385311
초연 을지로 CHOYEON KOREAN BBQ,0,0,0,0,0.16035362,0,0.515819701,0,0,0.252562611,0,0.053169808,0,0.630900975,0,0.193576257,0,0.453975818
충무집,0,0.328208424,0.260094368,0.075068225,0.22639656,0,0,0,0.068818663,0.594304287,0,0.112602337,0.3002729,0.356297065,0.071216605,0.091100736,0.199622011,0.356083024
취향로3가,0.839479976,0,0,0.049828541,0.375691921,0,0,0,0,0,0,0.049828541,0.249142705,0,0.047271925,0.120941098,0.265008892,0
토리카미,0,0,0,0,0.739447333,0,0,0,0.112386374,0,0,0,0,0.436396175,0.348907213,0.148774779,0.325998689,0
통일집,0,0,0,0.565109292,0.21303754,0,0,0,0.10361259,0,0,0.565109292,0,0,0,0.137160224,0.30054861,0.375280162
평래옥,0,0.298002887,0.47231495,0.102239367,0.205560929,0.53960953,0,0,0.031242587,0.53960953,0,0.068159578,0,0,0.032331214,0.082716592,0.151042069,0.129324857
풍남골뱅이,0,0,0.450689975,0.325194435,0.245186633,0,0,0,0.298121427,0,0.530697777,0.325194435,0.325194435,0,0,0.138126462,0.172951917,0
한강로칼국수 을지로3가점,0,0,0.335449332,0.048408557,0,0,0,0,0,0,0.789998556,0.048408557,0.484085567,0,0.045924798,0.11749459,0,0.091849595
한식당 풍류,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
헤이 지니,0,0,0,0,0,0.974133235,0,0,0,0,0,0,0.123045474,0,0.116732225,0.149324608,0,0
황금마차,0,0,0,0,0.437091129,0,0,0,0,0,0,0,0,0.859853427,0,0.263824616,0,0
효계 을지로점,0,0,0,0,0,0,0.77479626,0,0,0,0,0,0,0.284296847,0.530368644,0.193843132,0,0
